seriesId,year,period,value
CES0000000001,2024,M10,159061.0
CES0000000001,2024,M09,159025.0
CES0000000001,2024,M08,158770.0
CES0000000001,2024,M07,158692.0
CES0000000001,2024,M06,158548.0
CES0000000001,2024,M05,158430.0
CES0000000001,2024,M04,158214.0
CES0000000001,2024,M03,158106.0
CES0000000001,2024,M02,157796.0
CES0000000001,2024,M01,157560.0
CES0000000001,2023,M12,157304.0
CES0000000001,2023,M11,157014.0
CES0000000001,2023,M10,156832.0
CES0000000001,2023,M09,156667.0
CES0000000001,2023,M08,156421.0
CES0000000001,2023,M07,156211.0
CES0000000001,2023,M06,156027.0
CES0000000001,2023,M05,155787.0
CES0000000001,2023,M04,155484.0
CES0000000001,2023,M03,155206.0
CES0000000001,2023,M02,155060.0
CES0000000001,2023,M01,154773.0
CES0000000001,2022,M12,154291.0
CES0000000001,2022,M11,154155.0
CES0000000001,2022,M10,153897.0
CES0000000001,2022,M09,153536.0
CES0000000001,2022,M08,153281.0
CES0000000001,2022,M07,153038.0
CES0000000001,2022,M06,152348.0
CES0000000001,2022,M05,151928.0
CES0000000001,2022,M04,151642.0
CES0000000001,2022,M03,151370.0
CES0000000001,2022,M02,150876.0
CES0000000001,2022,M01,150014.0
LNS14000000,2024,M10,4.1
LNS14000000,2024,M09,4.1
LNS14000000,2024,M08,4.2
LNS14000000,2024,M07,4.3
LNS14000000,2024,M06,4.1
LNS14000000,2024,M05,4.0
LNS14000000,2024,M04,3.9
LNS14000000,2024,M03,3.8
LNS14000000,2024,M02,3.9
LNS14000000,2024,M01,3.7
LNS14000000,2023,M12,3.7
LNS14000000,2023,M11,3.7
LNS14000000,2023,M10,3.8
LNS14000000,2023,M09,3.8
LNS14000000,2023,M08,3.8
LNS14000000,2023,M07,3.5
LNS14000000,2023,M06,3.6
LNS14000000,2023,M05,3.7
LNS14000000,2023,M04,3.4
LNS14000000,2023,M03,3.5
LNS14000000,2023,M02,3.6
LNS14000000,2023,M01,3.4
LNS14000000,2022,M12,3.5
LNS14000000,2022,M11,3.6
LNS14000000,2022,M10,3.6
LNS14000000,2022,M09,3.5
LNS14000000,2022,M08,3.6
LNS14000000,2022,M07,3.5
LNS14000000,2022,M06,3.6
LNS14000000,2022,M05,3.6
LNS14000000,2022,M04,3.7
LNS14000000,2022,M03,3.6
LNS14000000,2022,M02,3.8
LNS14000000,2022,M01,4.0
LNS11000000,2024,M10,168479.0
LNS11000000,2024,M09,168699.0
LNS11000000,2024,M08,168549.0
LNS11000000,2024,M07,168429.0
LNS11000000,2024,M06,168009.0
LNS11000000,2024,M05,167732.0
LNS11000000,2024,M04,167982.0
LNS11000000,2024,M03,167895.0
LNS11000000,2024,M02,167426.0
LNS11000000,2024,M01,167276.0
LNS11000000,2023,M12,167451.0
LNS11000000,2023,M11,168127.0
LNS11000000,2023,M10,167723.0
LNS11000000,2023,M09,167897.0
LNS11000000,2023,M08,167840.0
LNS11000000,2023,M07,167113.0
LNS11000000,2023,M06,167000.0
LNS11000000,2023,M05,166823.0
LNS11000000,2023,M04,166678.0
LNS11000000,2023,M03,166690.0
LNS11000000,2023,M02,166263.0
LNS11000000,2023,M01,165871.0
LNS11000000,2022,M12,164998.0
LNS11000000,2022,M11,164441.0
LNS11000000,2022,M10,164679.0
LNS11000000,2022,M09,164649.0
LNS11000000,2022,M08,164741.0
LNS11000000,2022,M07,164065.0
LNS11000000,2022,M06,164100.0
LNS11000000,2022,M05,164280.0
LNS11000000,2022,M04,163922.0
LNS11000000,2022,M03,164212.0
LNS11000000,2022,M02,163807.0
LNS11000000,2022,M01,163615.0
LNS11300000,2024,M10,62.6
LNS11300000,2024,M09,62.7
LNS11300000,2024,M08,62.7
LNS11300000,2024,M07,62.7
LNS11300000,2024,M06,62.6
LNS11300000,2024,M05,62.5
LNS11300000,2024,M04,62.7
LNS11300000,2024,M03,62.7
LNS11300000,2024,M02,62.5
LNS11300000,2024,M01,62.5
LNS11300000,2023,M12,62.5
LNS11300000,2023,M11,62.8
LNS11300000,2023,M10,62.7
LNS11300000,2023,M09,62.8
LNS11300000,2023,M08,62.8
LNS11300000,2023,M07,62.6
LNS11300000,2023,M06,62.6
LNS11300000,2023,M05,62.6
LNS11300000,2023,M04,62.6
LNS11300000,2023,M03,62.6
LNS11300000,2023,M02,62.5
LNS11300000,2023,M01,62.4
LNS11300000,2022,M12,62.3
LNS11300000,2022,M11,62.1
LNS11300000,2022,M10,62.3
LNS11300000,2022,M09,62.3
LNS11300000,2022,M08,62.4
LNS11300000,2022,M07,62.1
LNS11300000,2022,M06,62.2
LNS11300000,2022,M05,62.3
LNS11300000,2022,M04,62.2
LNS11300000,2022,M03,62.3
LNS11300000,2022,M02,62.2
LNS11300000,2022,M01,62.2
SUUR0000SA0E,2024,M10,222.489
SUUR0000SA0E,2024,M09,224.903
SUUR0000SA0E,2024,M08,230.938
SUUR0000SA0E,2024,M07,235.469
SUUR0000SA0E,2024,M06,234.347
SUUR0000SA0E,2024,M05,237.483
SUUR0000SA0E,2024,M04,237.838
SUUR0000SA0E,2024,M03,232.97
SUUR0000SA0E,2024,M02,225.546
SUUR0000SA0E,2024,M01,220.303
SUUR0000SA0E,2023,M12,219.768
SUUR0000SA0E,2023,M11,226.63
SUUR0000SA0E,2023,M10,235.012
SUUR0000SA0E,2023,M09,243.064
SUUR0000SA0E,2023,M08,241.961
SUUR0000SA0E,2023,M07,233.59
SUUR0000SA0E,2023,M06,232.887
SUUR0000SA0E,2023,M05,229.522
SUUR0000SA0E,2023,M04,232.508
SUUR0000SA0E,2023,M03,229.284
SUUR0000SA0E,2023,M02,232.169
SUUR0000SA0E,2023,M01,234.027
SUUR0000SA0E,2022,M12,227.244
SUUR0000SA0E,2022,M11,242.013
SUUR0000SA0E,2022,M10,248.109
SUUR0000SA0E,2022,M09,245.207
SUUR0000SA0E,2022,M08,252.799
SUUR0000SA0E,2022,M07,270.654
SUUR0000SA0E,2022,M06,283.081
SUUR0000SA0E,2022,M05,263.009
SUUR0000SA0E,2022,M04,247.746
SUUR0000SA0E,2022,M03,247.617
SUUR0000SA0E,2022,M02,222.044
SUUR0000SA0E,2022,M01,215.954
CES0000000001,2024,M11,159288.0
LNS14000000,2024,M11,4.2
LNS11000000,2024,M11,168286.0
LNS11300000,2024,M11,62.5
SUUR0000SA0E,2024,M11,218.561
CES0000000001,2024,M12,159536.0
LNS14000000,2024,M12,4.1
LNS11000000,2024,M12,168547.0
LNS11300000,2024,M12,62.5
SUUR0000SA0E,2024,M12,218.213
CES0000000001,2025,M01,159069.0
LNS14000000,2025,M01,4.0
LNS11000000,2025,M01,170744.0
LNS11300000,2025,M01,62.6
SUUR0000SA0E,2025,M01,221.517
CES0000000001,2025,M02,159218.0
LNS14000000,2025,M02,4.1
LNS11000000,2025,M02,170359.0
LNS11300000,2025,M02,62.4
SUUR0000SA0E,2025,M02,223.844
CES0000000001,2025,M03,159398.0
LNS14000000,2025,M03,4.2
LNS11000000,2025,M03,170591.0
LNS11300000,2025,M03,62.5
